,trip1,trip2,trip3,trip4,trip5,trip6,trip7,trip8,cost,Total
0,122,0,0,0,101,0,0,0,3,11.0
1,122,0,0,0,101,142,121,0,3,13.0
2,122,0,0,0,102,0,0,0,3,11.0
3,122,0,0,0,103,0,0,0,3,11.0
4,123,0,0,0,101,0,0,0,3,11.0
5,123,0,0,0,101,142,121,0,3,13.0
6,123,0,0,0,102,0,0,0,3,11.0
7,123,0,0,0,103,0,0,0,3,11.0
8,124,0,0,0,101,0,0,0,3,11.0
9,124,0,0,0,101,142,121,0,3,13.0
10,124,0,0,0,102,0,0,0,3,11.0
11,124,0,0,0,103,0,0,0,3,11.0
12,126,0,0,0,104,0,0,0,3,11.0
13,126,0,0,0,104,142,121,0,3,13.0
14,126,0,0,0,106,0,0,0,3,11.0
15,127,0,0,0,104,0,0,0,3,11.0
16,127,0,0,0,104,142,121,0,3,13.0
17,127,0,0,0,106,0,0,0,3,11.0
18,128,0,0,0,107,0,0,0,3,4.0
19,128,0,0,0,107,141,120,0,3,6.0
20,128,0,0,0,108,0,0,0,3,4.0
21,128,0,0,0,109,0,0,0,3,4.0
22,128,108,0,0,128,108,0,0,2,8.0
23,128,108,0,0,129,109,0,0,2,8.0
24,128,108,0,0,132,112,0,0,2,9.0
25,128,108,0,0,137,117,0,0,2,7.0
26,128,108,0,0,137,117,141,120,2,9.0
27,128,108,0,0,140,119,0,0,2,6.0
28,128,108,0,0,140,119,128,108,2,10.0
29,128,108,0,0,140,119,141,120,2,8.0
30,128,108,0,0,141,120,0,0,2,6.0
31,128,108,0,0,142,121,0,0,2,6.0
32,129,0,0,0,107,0,0,0,3,4.0
33,129,0,0,0,107,141,120,0,3,6.0
34,129,0,0,0,108,0,0,0,3,4.0
35,129,0,0,0,109,0,0,0,3,4.0
36,129,109,0,0,128,108,0,0,2,8.0
37,129,109,0,0,129,109,0,0,2,8.0
38,129,109,0,0,132,112,0,0,2,9.0
39,129,109,0,0,137,117,0,0,2,7.0
40,129,109,0,0,137,117,141,120,2,9.0
41,129,109,0,0,140,119,0,0,2,6.0
42,129,109,0,0,140,119,128,108,2,10.0
43,129,109,0,0,140,119,141,120,2,8.0
44,129,109,0,0,141,120,0,0,2,6.0
45,129,109,0,0,142,121,0,0,2,6.0
46,129,109,130,0,107,0,0,0,3,8.0
47,129,109,130,0,107,141,120,0,3,10.0
48,129,109,130,0,108,0,0,0,3,8.0
49,129,109,130,0,109,0,0,0,3,8.0
50,129,109,139,0,116,0,0,0,3,7.0
51,129,109,139,0,116,128,108,0,3,11.0
52,129,109,139,0,117,0,0,0,3,7.0
53,129,109,139,0,117,141,120,0,3,9.0
54,130,0,0,0,107,0,0,0,3,4.0
55,130,0,0,0,107,141,120,0,3,6.0
56,130,0,0,0,108,0,0,0,3,4.0
57,130,0,0,0,109,0,0,0,3,4.0
58,132,0,0,0,112,0,0,0,3,5.0
59,132,112,0,0,128,108,0,0,2,9.0
60,132,112,0,0,129,109,0,0,2,9.0
61,132,112,0,0,132,112,0,0,2,10.0
62,132,112,0,0,137,117,0,0,2,8.0
63,132,112,0,0,137,117,141,120,2,10.0
64,132,112,0,0,140,119,0,0,2,7.0
65,132,112,0,0,140,119,128,108,2,11.0
66,132,112,0,0,140,119,141,120,2,9.0
67,132,112,0,0,141,120,0,0,2,7.0
68,132,112,0,0,142,121,0,0,2,7.0
69,132,112,130,0,107,0,0,0,3,9.0
70,132,112,130,0,107,141,120,0,3,11.0
71,132,112,130,0,108,0,0,0,3,9.0
72,132,112,130,0,109,0,0,0,3,9.0
73,132,112,139,0,116,0,0,0,3,8.0
74,132,112,139,0,116,128,108,0,3,12.0
75,132,112,139,0,117,0,0,0,3,8.0
76,132,112,139,0,117,141,120,0,3,10.0
77,134,0,0,0,115,0,0,0,3,6.0
78,137,0,0,0,116,0,0,0,3,3.0
79,137,0,0,0,116,128,108,0,3,7.0
80,137,0,0,0,117,0,0,0,3,3.0
81,137,0,0,0,117,141,120,0,3,5.0
82,137,117,0,0,128,108,0,0,2,7.0
83,137,117,0,0,129,109,0,0,2,7.0
84,137,117,0,0,132,112,0,0,2,8.0
85,137,117,0,0,137,117,0,0,2,6.0
86,137,117,0,0,137,117,141,120,2,8.0
87,137,117,0,0,140,119,0,0,2,5.0
88,137,117,0,0,140,119,128,108,2,9.0
89,137,117,0,0,140,119,141,120,2,7.0
90,137,117,0,0,141,120,0,0,2,5.0
91,137,117,0,0,142,121,0,0,2,5.0
92,137,117,141,0,119,0,0,0,3,5.0
93,137,117,141,0,119,128,108,0,3,9.0
94,137,117,141,0,119,141,120,0,3,7.0
95,137,117,141,0,120,0,0,0,3,5.0
96,137,117,141,0,121,0,0,0,3,5.0
97,137,117,141,120,128,108,0,0,2,9.0
98,137,117,141,120,129,109,0,0,2,9.0
99,137,117,141,120,132,112,0,0,2,10.0
100,137,117,141,120,137,117,0,0,2,8.0
101,137,117,141,120,137,117,141,120,2,10.0
102,137,117,141,120,140,119,0,0,2,7.0
103,137,117,141,120,140,119,128,108,2,11.0
104,137,117,141,120,140,119,141,120,2,9.0
105,137,117,141,120,141,120,0,0,2,7.0
106,137,117,141,120,142,121,0,0,2,7.0
107,139,0,0,0,116,0,0,0,3,3.0
108,139,0,0,0,116,128,108,0,3,7.0
109,139,0,0,0,117,0,0,0,3,3.0
110,139,0,0,0,117,141,120,0,3,5.0
111,140,0,0,0,119,0,0,0,3,2.0
112,140,0,0,0,119,128,108,0,3,6.0
113,140,0,0,0,119,141,120,0,3,4.0
114,140,0,0,0,120,0,0,0,3,2.0
115,140,0,0,0,121,0,0,0,3,2.0
116,140,119,0,0,128,108,0,0,2,6.0
117,140,119,0,0,129,109,0,0,2,6.0
118,140,119,0,0,132,112,0,0,2,7.0
119,140,119,0,0,137,117,0,0,2,5.0
120,140,119,0,0,137,117,141,120,2,7.0
121,140,119,0,0,140,119,0,0,2,4.0
122,140,119,0,0,140,119,128,108,2,8.0
123,140,119,0,0,140,119,141,120,2,6.0
124,140,119,0,0,141,120,0,0,2,4.0
125,140,119,0,0,142,121,0,0,2,4.0
126,140,119,128,0,107,0,0,0,3,6.0
127,140,119,128,0,107,141,120,0,3,8.0
128,140,119,128,0,108,0,0,0,3,6.0
129,140,119,128,0,109,0,0,0,3,6.0
130,140,119,128,108,128,108,0,0,2,10.0
131,140,119,128,108,129,109,0,0,2,10.0
132,140,119,128,108,132,112,0,0,2,11.0
133,140,119,128,108,137,117,0,0,2,9.0
134,140,119,128,108,137,117,141,120,2,11.0
135,140,119,128,108,140,119,0,0,2,8.0
136,140,119,128,108,140,119,128,108,2,12.0
137,140,119,128,108,140,119,141,120,2,10.0
138,140,119,128,108,141,120,0,0,2,8.0
139,140,119,128,108,142,121,0,0,2,8.0
140,140,119,134,0,115,0,0,0,3,8.0
141,140,119,141,0,119,0,0,0,3,4.0
142,140,119,141,0,119,128,108,0,3,8.0
143,140,119,141,0,119,141,120,0,3,6.0
144,140,119,141,0,120,0,0,0,3,4.0
145,140,119,141,0,121,0,0,0,3,4.0
146,140,119,141,120,128,108,0,0,2,8.0
147,140,119,141,120,129,109,0,0,2,8.0
148,140,119,141,120,132,112,0,0,2,9.0
149,140,119,141,120,137,117,0,0,2,7.0
150,140,119,141,120,137,117,141,120,2,9.0
151,140,119,141,120,140,119,0,0,2,6.0
152,140,119,141,120,140,119,128,108,2,10.0
153,140,119,141,120,140,119,141,120,2,8.0
154,140,119,141,120,141,120,0,0,2,6.0
155,140,119,141,120,142,121,0,0,2,6.0
156,141,0,0,0,119,0,0,0,3,2.0
157,141,0,0,0,119,128,108,0,3,6.0
158,141,0,0,0,119,141,120,0,3,4.0
159,141,0,0,0,120,0,0,0,3,2.0
160,141,0,0,0,121,0,0,0,3,2.0
161,141,120,0,0,128,108,0,0,2,6.0
162,141,120,0,0,129,109,0,0,2,6.0
163,141,120,0,0,132,112,0,0,2,7.0
164,141,120,0,0,137,117,0,0,2,5.0
165,141,120,0,0,137,117,141,120,2,7.0
166,141,120,0,0,140,119,0,0,2,4.0
167,141,120,0,0,140,119,128,108,2,8.0
168,141,120,0,0,140,119,141,120,2,6.0
169,141,120,0,0,141,120,0,0,2,4.0
170,141,120,0,0,142,121,0,0,2,4.0
171,141,120,123,0,101,0,0,0,3,13.0
172,141,120,123,0,101,142,121,0,3,15.0
173,141,120,123,0,102,0,0,0,3,13.0
174,141,120,123,0,103,0,0,0,3,13.0
175,142,0,0,0,119,0,0,0,3,2.0
176,142,0,0,0,119,128,108,0,3,6.0
177,142,0,0,0,119,141,120,0,3,4.0
178,142,0,0,0,120,0,0,0,3,2.0
179,142,0,0,0,121,0,0,0,3,2.0
180,142,121,0,0,128,108,0,0,2,6.0
181,142,121,0,0,129,109,0,0,2,6.0
182,142,121,0,0,132,112,0,0,2,7.0
183,142,121,0,0,137,117,0,0,2,5.0
184,142,121,0,0,137,117,141,120,2,7.0
185,142,121,0,0,140,119,0,0,2,4.0
186,142,121,0,0,140,119,128,108,2,8.0
187,142,121,0,0,140,119,141,120,2,6.0
188,142,121,0,0,141,120,0,0,2,4.0
189,142,121,0,0,142,121,0,0,2,4.0
190,142,121,127,0,104,0,0,0,3,13.0
191,142,121,127,0,104,142,121,0,3,15.0
192,142,121,127,0,106,0,0,0,3,13.0
193,142,121,130,0,107,0,0,0,3,6.0
194,142,121,130,0,107,141,120,0,3,8.0
195,142,121,130,0,108,0,0,0,3,6.0
196,142,121,130,0,109,0,0,0,3,6.0
197,142,121,139,0,116,0,0,0,3,5.0
198,142,121,139,0,116,128,108,0,3,9.0
199,142,121,139,0,117,0,0,0,3,5.0
200,142,121,139,0,117,141,120,0,3,7.0
